Site,fca.pop.atl,fca1.atl,fca2.atl,fca3.atl,fca4.atl
NN.A,Populati 1,0.86797,-0.7799,0.09759,0.18081
NN.B,Populati 2,0.81767,-0.75856,0.13862,0.21218
ES.A,Populati 3,-0.64512,0.14064,0.05861,-0.25769
ES.B,Populati 4,-0.50496,0.14844,0.00986,-0.29001
FR.A,Populati 5,1.09004,0.85317,0.02959,-0.78461
FR.B,Populati 6,1.0701,0.94894,-0.15084,-0.90081
IR.A,Populati 7,0.32678,-0.45958,-0.00466,0.0621
IR.B,Populati 8,0.12408,-0.5533,0.1068,0.03565
LI.A,Populati 9,-0.60577,0.05622,0.04816,-0.34687
LI.B,Populati10,-0.60169,0.02428,0.08846,-0.37691
NC.A,Populati11,-0.46716,0.16092,-0.02477,-0.10828
NC.B,Populati12,-0.47851,0.16214,-0.02534,-0.09217
PO.A,Populati13,0.23226,1.11781,1.6007,1.04258
PO.B,Populati14,0.12823,1.2028,1.76632,1.30316
QU.A,Populati15,-0.36383,-0.30852,0.28105,-0.12513
QU.B,Populati16,-0.34128,-0.334,0.25973,-0.09681
UK.A,Populati17,0.41735,-0.55058,0.02098,0.13089
UK.B,Populati18,0.41194,-0.49637,-0.06375,0.09104
VA.A,Populati19,-0.47656,0.13388,0.0165,-0.16836
VA.B,Populati20,-0.49208,0.07611,-0.03323,-0.22214
FI.A,Populati21,0.41476,-0.51996,0.20191,0.23609
FI.B,Populati22,0.44592,-0.50866,0.10276,0.2111
CR.A,Populati23,-0.17273,0.77729,-1.16791,0.85179
CR.B,Populati24,-0.05481,0.62997,-0.92405,0.7037
MA.A,Populati25,-0.34629,-0.17274,0.11514,-0.25632
MA.B,Populati26,-0.2535,-0.16497,0.01709,-0.10579
SW.A,Populati27,0.23078,-0.31932,0.02074,0.15364
SW.B,Populati28,0.17722,-0.27232,0.09463,0.23502
RU.A,Populati29,0.45701,-0.40549,-0.40452,0.48542
RU.B,Populati30,0.35106,-0.39273,-0.08081,0.17481