Site,fca.pop.pac,fca1.pac,fca2.pac,fca3.pac,fca4.pac
BB.A,Populati 1,0.22708,0.16268,0.21421,0.00745
BB.B,Populati 2,0.40069,0.03908,0.23624,0.15335
BC.A,Populati 3,-0.48062,0.47698,-0.16779,-0.06519
BC.B,Populati 4,-0.4667,0.52477,-0.09336,-0.04869
MX.A,Populati 5,1.28729,0.05798,0.04602,0.54261
MX.B,Populati 6,1.19366,0.0736,-0.18929,0.05843
SD.A,Populati 7,1.39439,0.05264,-0.03159,0.0521
SD.B,Populati 8,1.4903,0.01192,-0.15815,-0.00336
WA.A,Populati 9,-0.42165,0.60308,-0.1197,-0.04743
WA.B,Populati10,-0.46153,0.51354,-0.05927,-0.00639
KO.A,Populati11,-0.04034,-0.95245,0.70415,-1.3066
KO.B,Populati12,-0.04323,-1.00142,0.69905,-1.03037
OR.A,Populati13,-0.23262,0.4388,0.21797,0.00715
OR.B,Populati14,-0.35837,0.58951,0.09073,0.01146
JN.A,Populati15,-0.34427,-0.26763,-1.17648,-0.35223
JN.B,Populati16,-0.42613,-0.32461,-1.33884,-0.45976
JS.A,Populati17,-0.48873,-1.18564,0.08798,0.79046
JS.B,Populati18,-0.57192,-1.32644,0.09248,0.90434
SF.A,Populati19,-0.53203,0.6965,0.54881,0.14436
SF.B,Populati20,-0.51638,0.65181,0.51073,0.19778