Site.Code,Site,Subsite,Subsite.Name,Ocean,Coast,Basin,Latitude,Longitude,Temperature.C,Salinity.ppt,Day.length.hours,Depth.Categorical,calcite,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,damax,damean,damin,dissox,nitrate,parmax,parmean,ph,phos,phosphate,salinity,silicate,sstmax,sstmean,sstmin,sstrange,precip
BB,BB.A,A,"Westside Park, Bodega Bay",Pacific,East.Pacific,East,38.319755,-123.055136,13,33,14.5,Intertidal,0.002933,14.79133352,7.664000193,2.384666681,12.40666644,0.641333342,0.546333313,0.455333332,0.340000004,0.260000005,0.176666667,6.211666743,3.673000018,57.04433314,35.31733449,8.20966657,0.754900018,0.754900018,33.45366669,7.597333431,14.38699977,12.19699987,10.81333319,3.573666732,91.58333333
BB,BB.B,B,"Sacramento Landing, Tomales Bay",Pacific,East.Pacific,East,38.1496437,-122.9063846,18.4,34,14.5,Intertidal,0.0020475,16.53700018,8.312499762,2.377999902,14.15899992,0.627000004,0.541500002,0.459999993,0.368000001,0.277999997,0.180999994,6.291000128,4.759000063,55.11100006,35.05600166,8.21449995,0.78945002,0.78945002,33.46650124,8.858000278,14.57499981,12.43100023,10.76099968,3.81400001,82.90740741
BC,BC.A,A,Tsawwassen,Pacific,East.Pacific,East,49,-123.1,24.5,26,14,Intertidal,0.0100335,20.66016682,11.33983334,3.666833321,16.99333342,0.88683335,0.681166669,0.47133333,0.438333328,0.339166666,0.229666665,6.657333295,7.589166641,51.61633301,33.05516752,7.890999953,1.249566654,1.249566654,25.96549956,39.64816666,16.5971667,10.95633348,5.703333283,10.89383348,87.2
BC,BC.B,B,White Rock,Pacific,East.Pacific,East,49,-122.8,22.5,26,14,Intertidal,0.004317,45.93475056,20.74549961,3.896999955,42.03774977,0.866249993,0.681250006,0.482500002,0.680250004,0.45025,0.241500005,6.412750125,7.803750038,52.80274963,33.29874992,7.879500031,1.120574981,1.120574981,27.12599945,37.77049923,17.04850006,10.66499996,4.176250022,12.87225008,92.09803922
CR,CR.A,A,Posedarje,Atlantic,East.Atlantic,East,44.21154996,15.4906946,17,25,14.85,Subtidal,0.000477,0.734000027,0.612999976,0.538999975,0.195000097,0.801999986,0.656000018,0.444000006,0.101999998,0.090000004,0.081,5.585999966,0.606000006,56.7519989,33.14300156,8.246999741,0.0348,0.0348,38.43399811,3.551000118,24.83699989,15.77700043,8.196000099,16.64100075,84.82083333
CR,CR.B,B,Sveti Duh,Atlantic,East.Atlantic,East,44.20557132,15.47773378,19,20,15.383,Subtidal,0.000477,0.734000027,0.612999976,0.538999975,0.195000097,0.801999986,0.656000018,0.444000006,0.101999998,0.090000004,0.081,5.585999966,0.606000006,56.7519989,33.14300156,8.246999741,0.0348,0.0348,38.43399811,3.551000118,24.83699989,15.77700043,8.196000099,16.64100075,84.74583333
ES,ES.A,A,South Bay,Atlantic,West.Atlantic,West,37.265686,-75.812668,28.05,35.42,14.683,Shallow.Subtidal,0.0193054,6.242000008,4.743600035,3.640600109,2.601400018,0.586000001,0.503400004,0.420600003,0.290600002,0.262200004,0.235599995,6.062800026,0.646999991,51.19980087,34.28500061,8.281800079,0.249199998,0.249199998,26.42399979,1.123800015,26.59400024,16.02020016,5.654800034,20.93919983,88.38461538
ES,ES.B,B,Cobb Bay,Atlantic,West.Atlantic,West,37.31855,-75.789076,27.7,35.64,14.683,Shallow.Subtidal,0.020602667,8.252166669,5.500666738,3.787500103,4.464666645,0.587166657,0.503000001,0.423333337,0.327833335,0.276666669,0.239999997,6.113666614,0.782666663,50.82833354,34.15233358,8.273166656,0.270133336,0.270133336,26.44916662,1.252333343,26.94833342,15.86333338,5.341833274,21.60649999,87.86111111
FI,FI.A,A,Fårö,Atlantic,East.Atlantic,East,59.92025,21.79618333,14,6.5,19,Subtidal,0.000417667,20.58650017,12.84300009,4.765000006,15.82150014,0.842333327,0.747166663,0.645666669,0.448666672,0.374166667,0.256500001,7.786499977,1.676833332,48.58300082,36.73499934,8.255833467,0.190100004,0.190100004,6.239333312,10.76000007,18.91733329,8.203666846,0.853666663,18.06366698,51.51190476
FI,FI.B,B,Ängsö,Atlantic,East.Atlantic,East,60.10785,21.70995,17,6.5,14.5,Subtidal,0.00101275,34.37387538,24.01600015,13.94200009,20.43187481,0.829249993,0.731250003,0.649499997,0.578624997,0.501874998,0.400375005,7.753749967,1.636500016,47.86474991,36.54762459,8.243875027,0.186100001,0.186100001,6.171875,11.00912499,18.20650029,7.988124967,0.705249999,17.50124955,52.11574074
FR,FR.A,A,"Bouzigues, Etang de Thau",Atlantic,East.Atlantic,East,43.446971,3.661503,35,38.8,15,Shallow.Subtidal,0.003845,4.044666688,1.653333346,0.607000013,3.437666615,0.61833332,0.489000003,0.336333334,0.220000004,0.143999999,0.087,5.563333511,1.841000001,56.18399938,33.78766632,8.272333463,0.242866665,0.242866665,37.33333333,1.481333335,23.60166613,16.4740003,10.20100021,13.40066687,58.39166667
FR,FR.B,B,"Peyrac sur mer, Etang de Bages-Sigean",Atlantic,East.Atlantic,East,43.082895,2.973231,35,32.5,15,Shallow.Subtidal,0.006689,22.09900093,6.269000053,1.684999943,20.41399956,0.647000015,0.532999992,0.388000011,0.411000013,0.248999998,0.165000007,5.407000065,1.77699995,54.12799835,32.85499954,8.274999619,0.235499993,0.235499993,37.44900131,1.442999959,22.69799995,16.60099983,10.92399979,11.77400017,52.85
IR,IR.A,A,Greyabbey,Atlantic,East.Atlantic,East,54.531944,-5.569167,20.4,40,17.3,Intertidal,0.006026167,3.521666686,2.588166674,1.949999968,1.571666648,0.818833331,0.761166662,0.696,0.218999997,0.197333331,0.174500001,6.550833305,5.99666659,40.78933271,28.68683338,8.206166903,0.573283335,0.573283335,34.11316681,4.102666696,15.81266673,10.67966652,6.420666615,9.39199996,86.23245614
IR,IR.B,B,Donegal ,Atlantic,East.Atlantic,East,55.2225,-7.701944,16.3,40,17.18,Intertidal,0.001019667,4.100666682,1.896499991,0.925999999,3.174666643,0.863499999,0.809999992,0.733833343,0.200166668,0.159000002,0.117333334,6.184499979,4.266333342,40.02483304,28.16849995,8.186500231,0.382250006,0.382250006,35.02333323,2.776166638,15.70433346,10.91699998,6.752666632,8.951666594,95.96212121
JN,JN.A,A,Akkeshi-ko estuary,Pacific,West.Pacific,West,43.021167,144.903217,21,26,15,Shallow.Subtidal,0.0063506,7.289599895,4.25899992,2.430799985,4.85880003,0.777800012,0.666999996,0.499799997,0.295999998,0.233199999,0.166399999,7.267199898,6.615999985,42.09119949,27.66939964,8.152200317,0.705379999,0.705379999,32.58700027,12.6,19.60700035,8.268200016,0.202600001,19.40439987,91.546875
JN,JN.B,B,Akkeshi-bay,Pacific,West.Pacific,West,43.052222,144.842699,16,30,15,Shallow.Subtidal,0.009353667,8.105666478,5.186333259,3.492666642,4.613000075,0.781333347,0.674999992,0.505666653,0.315333327,0.258999998,0.204666664,7.276333173,6.586666584,41.88733292,27.34366608,8.152333577,0.703433335,0.703433335,32.57100042,12.58933322,21.20933342,8.511666616,0.374666671,20.83466657,91.56481481
JS,JS.A,A,Ikunoshima,Pacific,West.Pacific,West,34.297834,132.91631,22,32.5,14.2,Subtidal,0.002279,2.083500028,1.766000032,1.490999997,0.592499971,0.777500004,0.665499985,0.562000006,0.173999995,0.163499996,0.153999999,5.786000013,4.375,48.23600006,34.39550018,8.236000061,0.238399997,0.238399997,32.65649986,9.250499725,27.00050068,19.02700043,11.74499989,15.25549984,110.5784314
JS,JS.B,B,Onoura,Pacific,West.Pacific,West,34.274018,132.26617,20.4,30.4,14.27,Subtidal,0.00067975,15.57599998,6.616999984,1.975250006,13.60074997,0.785999998,0.683750004,0.535750002,0.419500001,0.281499997,0.166000001,5.532999992,1.35225001,46.65399933,34.22149944,8.287749767,0.217975002,0.217975002,33.93050003,8.542500019,29.6965003,19.50774956,10.96674991,18.72975016,145.5637255
KO,KO.A,A,Dongdae bay,Pacific,West.Pacific,West,34.89466111,128.0202722,23.8,31.3,14.14,Intertidal,0.0095748,15.11439962,6.737200069,3.892199898,11.22220001,0.747600007,0.551199996,0.438199997,0.378600007,0.290799993,0.25,5.861200047,1.446199989,46.49100037,34.3526001,8.051200104,0.343919992,0.343919992,32.77419891,12.28780003,27.50720024,17.66940002,8.558399963,18.94880028,131.265625
KO,KO.B,B,Koje bay,Pacific,West.Pacific,West,34.80097222,128.5836944,23.3,33.6,14.25,Intertidal,0.004789,12.8035,5.042750001,1.836750001,10.9667502,0.706999987,0.525749996,0.403249994,0.336749997,0.231250003,0.155999999,5.709000111,1.297499955,47.46825027,34.45699978,8.107999802,0.309650004,0.309650004,32.90575027,12.0454998,27.85050011,18.13600016,10.73950028,17.11100006,139.6990741
LI,LI.A,A,Site 1 (Landscape Lab),Atlantic,West.Atlantic,West,40.85762,-72.45119,20.3,31.4,12.4,Shallow.Subtidal,0.0025702,6.198200083,5.148200083,4.334600019,1.863600039,0.648600006,0.540800011,0.416799992,0.2808,0.2502,0.223199999,6.184799957,1.853999972,50.18300018,32.64939957,8.03579998,0.595499992,0.595499992,30.85060005,2.3954,22.15019951,12.73459988,3.34119997,18.80900002,95.34722222
LI,LI.B,B,"Site 2 (Tiana Beach, Summer)",Atlantic,West.Atlantic,West,40.83158,-72.54082,18.8,30,11.8,Shallow.Subtidal,0.003612667,8.488333384,6.326999982,4.986833314,3.50150001,0.643166681,0.542333345,0.423333332,0.320666666,0.275333333,0.242833331,6.20783337,1.860666653,50.09266599,32.79133352,8.02699995,0.600899984,0.600899984,30.71199989,2.382833322,22.82066663,12.67449999,2.996333341,19.82433319,94.85714286
MA,MA.A,A,Dorothy Cove,Atlantic,West.Atlantic,West,42.42014,-70.91544,15.1,32.35,15.25,Shallow.Subtidal,0.0060875,11.13399994,6.379750013,2.462250054,8.671750247,0.727749988,0.628250003,0.500499994,0.350249998,0.282500006,0.190000001,6.81524992,3.713500023,48.91224957,31.26824951,8.044000149,0.728375018,0.728375018,31.19649982,4.616750002,18.97324991,10.31599998,2.224999994,16.74825001,94.79166667
MA,MA.B,B,Niles Beach,Atlantic,West.Atlantic,West,42.59697,-70.6556,14.8,32.15,15,Shallow.Subtidal,0.0013318,10.63460007,3.912599945,1.662199974,8.972399902,0.677799988,0.576600003,0.4366,0.332599998,0.227399996,0.158399999,6.808400059,3.747600031,50.32480087,32.02459946,8.075399971,0.700560009,0.700560009,31.35299988,4.639599991,18.96300011,10.32700005,2.540799975,16.42220039,98.34166667
MX,MX.A,A,San Quintin Bay,Pacific,East.Pacific,East,30.419675,-115.9641889,17.855,34,14.08,Intertidal,0.001056,4.966250092,2.252249986,1.187250018,3.778999969,0.601500012,0.462250009,0.327250004,0.226249997,0.1675,0.123749999,5.790749907,0.170249995,56.42974949,42.52075005,8.23300004,0.389024995,0.389024995,33.56949997,2.654250026,20.66474962,17.06075001,14.51799965,6.146749973,13.51282051
MX,MX.B,B,Punta Banda Estuary,Pacific,East.Pacific,East,31.7584722,-116.6227778,25.416,33,14.12,Intertidal,0.000745,12.43233331,5.229000012,2.087333322,10.34500027,0.539666673,0.40866666,0.288333332,0.355333338,0.243000006,0.170333336,5.833666643,0.055333334,55.8390007,41.98400116,8.224666913,0.36833334,0.36833334,33.52033361,2.525999943,21.60600026,17.81433296,15.03000005,6.576000055,26.06547619
NC,NC.A,A,Middle Marsh,Atlantic,West.Atlantic,West,34.692458,-76.622589,22.6,34,14.15,Intertidal,0.01353625,6.018750012,4.136500061,2.657499999,3.361249983,0.581249997,0.486749992,0.407749996,0.280500002,0.232749999,0.174000002,5.128000021,0.308749996,53.30600071,35.68824959,8.286499977,0.115625,0.115625,34.89050007,0.934750006,28.57875013,21.24549961,13.64949989,14.92925024,117.4615385
NC,NC.B,B,Shackleford Island,Atlantic,West.Atlantic,West,34.670544,-76.574561,24.4,25,14.2,Intertidal,0.0147705,6.023500025,4.128000081,2.652749985,3.37074995,0.578999996,0.484249994,0.406749994,0.281000003,0.233249996,0.173750002,5.112500072,0.307999998,53.42925072,35.64999962,8.28550005,0.114250001,0.114250001,34.94900036,0.933500007,28.63925028,21.36199999,13.58224988,15.05700016,118.0595238
NN,NN.A,A,Misvaerfjorden,Atlantic,East.Atlantic,East,67.2147,15.0083,8,24.5,24,Subtidal,0.000365,3.50777777,1.694333328,1.039888892,2.467888872,0.822333329,0.763888896,0.694888883,0.196888886,0.15811111,0.139555555,6.944999907,4.361999989,40.13077672,29.10888884,8.211999893,0.546800011,0.546800011,32.17277781,7.402333313,14.13711103,7.121555593,2.317444457,11.81966665,90.61363636
NN,NN.B,B,Rövika,Atlantic,East.Atlantic,East,67.26672333,15.25606333,10.5,18.5,24,Subtidal,0.000311,1.779777779,1.213222212,0.918666667,0.861111104,0.816888895,0.766777774,0.695777787,0.159777777,0.142777777,0.134222223,7.298111068,4.484666612,38.94755554,28.43511115,8.203333325,0.514066673,0.514066673,32.11822213,5.009777731,14.0442223,6.52599997,1.673999982,12.3702222,88.74342105
OR,OR.A,A,Yaquina Bay,Pacific,East.Pacific,East,44.61273333,-124.0141333,17,36,14.22,Intertidal,0.001276,11.23266697,5.263333321,1.325333317,9.907333692,0.779666662,0.668666661,0.522666683,0.296000004,0.214999999,0.140000001,6.456999938,3.951333364,54.85400009,31.32666715,8.191333453,0.661233326,0.661233326,32.64866638,16.66400019,14.27333323,11.38466676,8.599666913,5.673666636,168.0416667
OR,OR.B,B,Coos Bay,Pacific,East.Pacific,East,43.34625,-124.3182833,16,33,14.22,Intertidal,0.001624,9.58433342,3.767000039,1.366333365,8.218000094,0.745333334,0.646333337,0.51333334,0.272000005,0.194000001,0.140333335,6.445000013,3.799000025,54.92200089,32.39466604,8.199666659,0.646400015,0.646400015,32.49766668,12.97333336,14.33799998,11.22499975,9.311999957,5.026000023,135.7666667
PO,PO.A,A,Culatatra,Atlantic,East.Atlantic,East,36.997057,-7.82849,20.53,36,14.65,Intertidal,0.0012015,2.29825002,1.137500018,0.577249981,1.721000016,0.537249997,0.439500004,0.212750003,0.144750003,0.113750001,0.084249999,5.423999906,2.184749961,59.7462492,39.53850079,8.10374999,0.1494,0.1494,36.13974953,1.353000015,22.32199955,18.32324982,14.37624979,7.945749998,41.81944444
PO,PO.B,B,Marim,Atlantic,East.Atlantic,East,37.027333,-7.810105,20.57,36,14.65,Intertidal,0.0011972,2.516800022,1.219200015,0.658599991,1.858200026,0.537599993,0.440000004,0.214200002,0.151400003,0.1184,0.0898,5.422799969,2.189399958,60.00279922,39.4154007,8.1,0.149779999,0.149779999,36.12979965,1.353800011,22.25819969,18.3447998,14.48139992,7.776799965,42.3
QU,QU.A,A,Pointe-Lebel,Atlantic,West.Atlantic,West,49.11237,-68.17593,15.47,16,16.183,Intertidal,0.002939833,36.38050016,14.93150028,2.068333348,34.31216749,0.796499997,0.692499995,0.621166676,0.587333327,0.363333335,0.174499998,7.55399998,5.02549998,47.75933266,35.21916644,7.705166578,0.897366663,0.897366663,26.91050021,13.37183332,14.18733327,5.351499955,-0.925166657,15.11249987,79.82407407
QU,QU.B,B,Baie-St-Ludger,Atlantic,West.Atlantic,West,49.08696,-68.32041,15.37,21,16.2,Intertidal,0.003275,39.88180046,16.57460022,2.194200015,37.68760071,0.793999994,0.679400003,0.603200006,0.619199991,0.379400003,0.175599998,7.568000031,5.103600025,47.87839966,35.29660034,7.706400013,0.902919996,0.902919996,26.87200012,13.65939999,14.0512001,5.319999981,-0.807399988,14.85859985,78.88888889
RU,RU.A,A,Seldianaya,Atlantic,East.Atlantic,East,66.40611111,33.72305556,23,14,18.54,Intertidal,0.0003506,12.21040016,4.423199946,0.433599998,11.77679987,0.937899995,0.812699991,0.717099994,0.312399997,0.203399999,0.1197,7.060700035,0.611799997,41.76220016,30.67089996,8.172300053,0.09491,0.09491,24.99519997,5.185100079,12.61660013,4.066899943,-1.055800009,13.6724,42.26388889
RU,RU.B,B,Nicolskaya,Atlantic,East.Atlantic,East,66.28583333,34.0025,15,10,17.54,Intertidal,0.000544125,8.735874951,2.804499999,0.723500008,8.012375042,0.931500003,0.798999995,0.698000006,0.297750004,0.189500002,0.117249999,7.022625029,0.641250007,43.24887466,31.34375,8.15737474,0.088612501,0.088612501,24.90150023,5.339124918,12.68187511,4.083000034,-1.227125004,13.90900004,40.00595238
SD,SD.A,A,Shelter Island,Pacific,East.Pacific,East,32.713756,-117.225474,19.44,35,14.12,Shallow.Subtidal,0.000875667,4.926333348,2.902666688,2.028333366,2.898000081,0.554333329,0.463333338,0.371000002,0.239333337,0.193666667,0.164999999,5.770666758,0.097000003,55.22966639,40.99099986,8.219666481,0.357133329,0.357133329,33.49266688,2.551666657,21.40766716,17.20999972,14.53899988,6.868666808,21.82575758
SD,SD.B,B,Coronado ,Pacific,East.Pacific,East,32.700762,-117.172885,21.11,35,14.2173,Shallow.Subtidal,0.001158,9.297666391,4.134000063,2.210000038,7.087666829,0.531666656,0.444000006,0.331333329,0.289666668,0.223,0.180666665,5.787666798,0.091333335,56.35366694,41.60299937,8.221333186,0.357866665,0.357866665,33.4956665,2.581666629,21.09233411,17.01533318,14.44366678,6.648666859,21.53333333
SF,SF.A,A,Point Molate,Pacific,East.Pacific,East,37.946557,-122.418499,17.7,30,14.6,Intertidal,0.020969,9.802999973,6.856000066,5.466749907,4.336249918,0.620250016,0.449500002,0.268499997,0.352499999,0.310250007,0.283,6.365999937,3.300999999,60.2585001,38.66674995,8.208499908,0.74817501,0.74817501,33.22599983,6.921999931,17.84749985,14.46125007,11.10000014,6.747500062,64.60294118
SF,SF.B,B,Point San Pablo,Pacific,East.Pacific,East,37.978118,-122.405941,17.5,27,14.6,Intertidal,0.02810775,11.72774994,8.537750006,6.167749882,5.559999943,0.626250014,0.447750002,0.246499997,0.375749998,0.335250005,0.296250001,6.362749934,3.301749945,60.041749,38.25500011,8.208250046,0.749625012,0.749625012,33.23974991,6.969499946,18.38699961,14.61775017,10.84800029,7.539000034,61.72619048
SW,SW.A,A,Torseröd,Atlantic,East.Atlantic,East,58.3131,11.5488,21,25,15.7,Shallow.Subtidal,0.001621,12.39399992,6.762000016,2.525428602,9.868571145,0.83114286,0.715000008,0.629285719,0.349571432,0.274142853,0.18942857,7.227999892,1.592428565,46.61414283,32.71200017,8.311857224,0.21687143,0.21687143,28.16328566,2.528285708,20.40942873,9.426571437,0.632142842,19.77728626,61.0297619
SW,SW.B,B,Bökevik,Atlantic,East.Atlantic,East,58.2488,11.4536,21,24,15.7,Shallow.Subtidal,0.001594,14.67883317,7.326166789,2.343833327,12.33499988,0.835500002,0.71633334,0.635,0.375166665,0.282333334,0.185,7.227333307,1.607333322,46.85083326,32.79716682,8.311833382,0.218333334,0.218333334,28.08933322,2.568833311,20.38199997,10.03750006,1.347000003,19.03500017,59.80952381
UK,UK.A,A,Porth Dinllaen,Atlantic,East.Atlantic,East,52.942282,-4.565173,17.5,34.4,18.5,Intertidal,0.0099378,4.875800037,3.31239996,2.375600028,2.500199986,0.785800004,0.735199976,0.653199995,0.257000005,0.218199995,0.188400003,6.331999969,8.952200317,46.29900055,30.44760017,8.207800293,0.628439999,0.628439999,34.28199921,4.819400024,16.38339996,11.68279991,7.638199997,8.745200157,79.02380952
UK,UK.B,B,Penn Y Chain,Atlantic,East.Atlantic,East,52.89856,-4.321868,15.3,32.7,18.5,Intertidal,0.0083835,8.332499981,6.248250127,4.644000113,3.688500047,0.800000012,0.747749999,0.684500009,0.317499995,0.276250001,0.240000002,6.319999933,8.991000175,44.1760006,29.63775015,8.211000443,0.639925018,0.639925018,34.26574898,5.239749908,18.04900026,12.10724998,6.504500031,11.54450011,83.0952381
VA,VA.A,A,Goodwin Islands,Atlantic,West.Atlantic,West,37.2204206,-76.4013352,27.44,18.27,14.633,Shallow.Subtidal,0.0087546,24.26460037,16.02240028,10.93920012,13.32539997,0.583800006,0.505800009,0.441000003,0.508800006,0.435399997,0.365799993,5.545200062,1.083400011,50.78460007,34.11499939,8.305000114,0.35068,0.35068,16.64960003,1.554399991,27.75079994,16.03780022,4.924800014,22.82599983,93.00595238
VA,VA.B,B,Allen's Islands,Atlantic,West.Atlantic,West,37.2543093,-76.4374474,26.4,18.04,14.683,Shallow.Subtidal,0.0090755,25.34500027,16.68800044,11.85000014,13.49499989,0.582750008,0.506500006,0.444000006,0.518000007,0.444749996,0.379499994,5.522000074,1.092000008,50.91024971,34.20499897,8.306000233,0.354249999,0.354249999,16.20124984,1.561999977,27.84124994,16.02050018,4.970499992,22.87074995,92.83333333
WA,WA.A,A,Willapa Bay,Pacific,East.Pacific,East,46.474,-124.028,17,23,15.68,Shallow.Subtidal,0.0059836,18.91119995,12.34800005,6.972800016,11.93839989,0.811999989,0.717000008,0.571599984,0.453600001,0.382400006,0.313199997,6.578999901,3.840600014,49.14160004,30.69560013,8.17539978,0.730420005,0.730420005,15.08259983,22.68419991,16.54920025,12.17259998,8.0697999,8.479399967,179.1785714
WA,WA.B,B,Dabob Bay,Pacific,East.Pacific,East,47.809,-122.815,16,20,15.93,Shallow.Subtidal,0.001048667,16.90866629,8.288333257,2.139666677,14.76899974,0.800999999,0.68900001,0.525666674,0.366999994,0.270999998,0.177999998,5.834333261,10.23499997,51.91333262,31.97866567,7.842333317,2.172433297,2.172433297,29.46999995,34.41966629,15.13666693,10.17666658,3.374000064,11.76266638,93.07539683